,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3
0,11500000000.0,-3.851709043E+01,-3.530971896E+01,11600000000.0,-3.887635668E+01,-1.522876649E+02,11700000000.0,"-4.127202824E+01
","1.140880714E+02
"
1,11500000000.0,-3.515363235E+01,-2.327257697E+01,11600000000.0,-3.388291220E+01,-1.325745278E+02,11700000000.0,"-3.624831962E+01
","1.240579261E+02
"
2,11500000000.0,-3.399570914E+01,-1.996198706E+01,11600000000.0,-3.193095607E+01,-1.396454012E+02,11700000000.0,"-3.409435751E+01
","1.267989678E+02
"
3,11500000000.0,-3.412153571E+01,-2.832692434E+01,11600000000.0,-3.117576825E+01,-1.461284926E+02,11700000000.0,"-3.373769688E+01
","1.126585968E+02
"
4,11500000000.0,-3.487018148E+01,-3.605753905E+01,11600000000.0,-3.307950575E+01,-1.588355304E+02,11700000000.0,"-3.593460420E+01
","1.104129091E+02
"
5,11500000000.0,-3.491145205E+01,-3.768481504E+01,11600000000.0,-3.331145480E+01,-1.514027800E+02,11700000000.0,"-3.551279955E+01
","1.123116280E+02
"
6,11500000000.0,-3.447078566E+01,-1.669633481E+01,11600000000.0,-3.242753893E+01,-1.391909581E+02,11700000000.0,"-3.399663203E+01
","1.295661345E+02
"
7,11500000000.0,-3.620844426E+01,-2.316796744E+01,11600000000.0,-3.350945896E+01,-1.468213590E+02,11700000000.0,"-3.486282693E+01
","1.177718408E+02
"
8,11500000000.0,-3.604451040E+01,-3.614940737E+01,11600000000.0,-3.367979472E+01,-1.544345621E+02,11700000000.0,"-3.715561406E+01
","1.172149275E+02
"
9,11500000000.0,-3.595151231E+01,-2.489009006E+01,11600000000.0,-3.454324674E+01,-1.519120104E+02,11700000000.0,"-3.683550953E+01
","1.240292835E+02
"
10,11500000000.0,-3.831344836E+01,-2.974467328E+01,11600000000.0,-3.470457361E+01,-1.499253133E+02,11700000000.0,"-3.612453702E+01
","1.237783206E+02
"
11,11500000000.0,-3.564412687E+01,-3.102279586E+01,11600000000.0,-3.276275562E+01,-1.455144165E+02,11700000000.0,"-3.576148748E+01
","1.189198960E+02
"
12,11500000000.0,-3.335608796E+01,-2.721051908E+01,11600000000.0,-3.136112900E+01,-1.459642011E+02,11700000000.0,"-3.309565445E+01
","1.187483230E+02
"
13,11500000000.0,-3.449291964E+01,-2.055334454E+01,11600000000.0,-3.333343483E+01,-1.419164080E+02,11700000000.0,"-3.441053834E+01
","1.240628390E+02
"
14,11500000000.0,-3.482503244E+01,-1.299746362E+01,11600000000.0,-3.488861800E+01,-1.257885158E+02,11700000000.0,"-3.620306297E+01
","1.237663213E+02
"
15,11500000000.0,-3.744265698E+01,-1.208770989E+01,11600000000.0,-3.617805891E+01,-1.340841006E+02,11700000000.0,"-3.932299804E+01
","1.302710362E+02
"
16,11500000000.0,-3.767495953E+01,-3.971738275E+01,11600000000.0,-3.534891828E+01,-1.580743127E+02,11700000000.0,"-4.004651179E+01
","1.178008092E+02
"
17,11500000000.0,-3.495796756E+01,-2.962926226E+01,11600000000.0,-3.337318919E+01,-1.460842437E+02,11700000000.0,"-3.709405965E+01
","1.197875734E+02
"
18,11500000000.0,-3.323760401E+01,-3.535817139E+01,11600000000.0,-3.254950905E+01,-1.552768465E+02,11700000000.0,"-3.466972055E+01
","1.110328555E+02
"
19,11500000000.0,-3.213498077E+01,-3.357085024E+01,11600000000.0,-3.027974966E+01,-1.597105578E+02,11700000000.0,"-3.264432977E+01
","9.759899144E+01
"
20,11500000000.0,-3.339434584E+01,-5.460355033E+01,11600000000.0,-3.202368095E+01,-1.665334354E+02,11700000000.0,"-3.422489171E+01
","9.067931398E+01
"
21,11500000000.0,-3.490712866E+01,-5.130278717E+01,11600000000.0,-3.217339312E+01,-1.699077805E+02,11700000000.0,"-3.535724309E+01
","8.787466289E+01
"
22,11500000000.0,-3.392856046E+01,-4.106627884E+01,11600000000.0,-3.184230110E+01,-1.630625529E+02,11700000000.0,"-3.424684580E+01
","1.066158894E+02
"
23,11500000000.0,-3.463346005E+01,-4.932374138E+01,11600000000.0,-3.154273653E+01,-1.643019414E+02,11700000000.0,"-3.433062245E+01
","9.091357536E+01
"
24,11500000000.0,-3.445793232E+01,-4.628799929E+01,11600000000.0,-3.293084996E+01,-1.634602313E+02,11700000000.0,"-3.459560083E+01
","9.590360406E+01
"
25,11500000000.0,-3.297518925E+01,-3.348922500E+01,11600000000.0,-3.193679159E+01,-1.477748792E+02,11700000000.0,"-3.445494749E+01
","1.116614511E+02
"
26,11500000000.0,-3.517092593E+01,-3.159971273E+01,11600000000.0,-3.249979815E+01,-1.509887243E+02,11700000000.0,"-3.415708954E+01
","1.133050066E+02
"
27,11500000000.0,-3.561231275E+01,-2.970258972E+01,11600000000.0,-3.259474255E+01,-1.551582679E+02,11700000000.0,"-3.489290495E+01
","1.184642512E+02
"
28,11500000000.0,-3.406941951E+01,-3.259241691E+01,11600000000.0,-3.149348442E+01,-1.469204330E+02,11700000000.0,"-3.334618858E+01
","1.073541372E+02
"
29,11500000000.0,-3.500700329E+01,-2.521792509E+01,11600000000.0,-3.322090165E+01,-1.450920134E+02,11700000000.0,"-3.411163576E+01
","1.136103897E+02
"
30,11500000000.0,-3.461798638E+01,-7.923659267E+00,11600000000.0,-3.355806897E+01,-1.301973622E+02,11700000000.0,"-3.521427055E+01
","1.204934132E+02
"
31,11500000000.0,-3.774805701E+01,-1.700785549E+01,11600000000.0,-3.505058816E+01,-1.340730156E+02,11700000000.0,"-3.652864363E+01
","1.246998654E+02
"
32,11500000000.0,-3.679297507E+01,-6.869974851E+00,11600000000.0,-3.393656020E+01,-1.288741837E+02,11700000000.0,"-3.730830101E+01
","1.338382561E+02
"
33,11500000000.0,-3.537198545E+01,1.069260100E+01,11600000000.0,-3.277901389E+01,-1.138141020E+02,11700000000.0,"-3.445712576E+01
","1.430426580E+02
"
34,11500000000.0,-3.331133678E+01,-9.728495845E+00,11600000000.0,-3.184988876E+01,-1.271590575E+02,11700000000.0,"-3.199569019E+01
","1.279001343E+02
"
35,11500000000.0,-3.171998449E+01,-1.851324717E+01,11600000000.0,-2.908085065E+01,-1.372476169E+02,11700000000.0,"-3.185565388E+01
","1.249947364E+02
"
36,11500000000.0,-3.285746534E+01,-2.183211859E+01,11600000000.0,-3.034292260E+01,-1.363821277E+02,11700000000.0,"-3.288214360E+01
","1.232882758E+02
"
37,11500000000.0,-3.604528704E+01,-3.434345886E+01,11600000000.0,-3.221255834E+01,-1.442544289E+02,11700000000.0,"-3.393091583E+01
","1.232245300E+02
"
38,11500000000.0,-3.337426597E+01,-1.772727673E+01,11600000000.0,-3.071306562E+01,-1.420854997E+02,11700000000.0,"-3.323732118E+01
","1.190335036E+02
"
39,11500000000.0,-3.284940014E+01,-1.836956895E+01,11600000000.0,-3.058342728E+01,-1.423521757E+02,11700000000.0,"-3.157720100E+01
","1.135953739E+02
"
40,11500000000.0,-3.440036080E+01,-1.132437815E+01,11600000000.0,-3.160766000E+01,-1.357856093E+02,11700000000.0,"-3.391319951E+01
","1.216699793E+02
"
41,11500000000.0,-3.552038120E+01,-7.046666221E+00,11600000000.0,-3.220783933E+01,-1.269346104E+02,11700000000.0,"-3.436023190E+01
","1.335753051E+02
"
42,11500000000.0,-3.613873835E+01,-2.146586803E+01,11600000000.0,-3.289248020E+01,-1.409379883E+02,11700000000.0,"-3.395767998E+01
","1.200217804E+02
"
43,11500000000.0,-3.415296308E+01,-2.346353497E+01,11600000000.0,-3.245393591E+01,-1.437251718E+02,11700000000.0,"-3.578020955E+01
","1.213103713E+02
"
44,11500000000.0,-3.272600772E+01,-1.084984507E+00,11600000000.0,-3.029924220E+01,-1.310094032E+02,11700000000.0,"-3.211046921E+01
","1.340362501E+02
"
45,11500000000.0,-3.304795877E+01,4.308315085E+00,11600000000.0,-3.170844317E+01,-1.132688694E+02,11700000000.0,"-3.279747333E+01
","1.439035800E+02
"
46,11500000000.0,-3.568983910E+01,-2.438302760E+00,11600000000.0,-3.270606276E+01,-1.170321577E+02,11700000000.0,"-3.649228311E+01
","1.319567081E+02
"
47,11500000000.0,-3.979679687E+01,-5.957586225E+00,11600000000.0,-3.793620212E+01,-1.225720958E+02,11700000000.0,"-3.868188814E+01
","1.418523085E+02
"
48,11500000000.0,-3.884961955E+01,1.182352712E+01,11600000000.0,-3.776737901E+01,-9.692987147E+01,11700000000.0,"-3.854466842E+01
","1.522818327E+02
"
49,11500000000.0,-3.460727147E+01,2.808869425E+01,11600000000.0,-3.497873330E+01,-9.316042637E+01,11700000000.0,"-3.734533775E+01
","1.643568075E+02
"
50,11500000000.0,-3.415321174E+01,9.964707519E+00,11600000000.0,-3.353562225E+01,-9.929808201E+01,11700000000.0,"-3.657741057E+01
","1.587280334E+02
"
51,11500000000.0,-3.404644641E+01,8.155777678E+00,11600000000.0,-3.177667240E+01,-1.192570833E+02,11700000000.0,"-3.344064541E+01
","1.524038242E+02
"
52,11500000000.0,-3.445925758E+01,-1.884089757E+00,11600000000.0,-3.306933052E+01,-1.243639776E+02,11700000000.0,"-3.433017770E+01
","1.455657948E+02
"
53,11500000000.0,-3.755795786E+01,-7.591286573E+00,11600000000.0,-3.592656696E+01,-1.342793103E+02,11700000000.0,"-3.565111548E+01
","1.391322299E+02
"
54,11500000000.0,-3.475569476E+01,-7.235482493E+00,11600000000.0,-3.272940587E+01,-1.279845925E+02,11700000000.0,"-3.355309816E+01
","1.379286881E+02
"
55,11500000000.0,-3.431610524E+01,-1.603760874E+01,11600000000.0,-3.212858762E+01,-1.304728922E+02,11700000000.0,"-3.363951180E+01
","1.360099274E+02
"
56,11500000000.0,-3.408824577E+01,-1.240165184E+01,11600000000.0,-3.225138644E+01,-1.265784110E+02,11700000000.0,"-3.339889926E+01
","1.277982589E+02
"
57,11500000000.0,-3.412776788E+01,-6.618355876E+00,11600000000.0,-3.371631949E+01,-1.210517031E+02,11700000000.0,"-3.513979295E+01
","1.326365737E+02
"
58,11500000000.0,-3.704671590E+01,-8.929605044E+00,11600000000.0,-3.496917254E+01,-1.319589895E+02,11700000000.0,"-3.729593730E+01
","1.325913250E+02
"
59,11500000000.0,-3.622930101E+01,-1.329504687E+01,11600000000.0,-3.410510562E+01,-1.342660973E+02,11700000000.0,"-3.432413922E+01
","1.268833510E+02
"
60,11500000000.0,-3.331162524E+01,-7.000999264E+00,11600000000.0,-3.149674636E+01,-1.257319017E+02,11700000000.0,"-3.354124683E+01
","1.385919699E+02
"
61,11500000000.0,-3.418651028E+01,-1.305727595E+00,11600000000.0,-3.266994969E+01,-1.189359723E+02,11700000000.0,"-3.361111667E+01
","1.525152114E+02
"
62,11500000000.0,-3.558797530E+01,1.860408417E+00,11600000000.0,-3.323974980E+01,-1.169685866E+02,11700000000.0,"-3.525544220E+01
","1.484688173E+02
"
63,11500000000.0,-3.956857300E+01,-1.687534680E+01,11600000000.0,-3.765818862E+01,-1.384790176E+02,11700000000.0,"-3.777392082E+01
","1.179512852E+02
"
64,11500000000.0,-3.876403955E+01,-2.590279261E+00,11600000000.0,-3.851075413E+01,-1.069980549E+02,11700000000.0,"-3.972837686E+01
","1.545408443E+02
"
65,11500000000.0,-3.821801677E+01,6.885062213E+00,11600000000.0,-3.536837893E+01,-1.187483335E+02,11700000000.0,"-3.738948204E+01
","1.416762418E+02
"
66,11500000000.0,-3.561776922E+01,-4.935209403E+00,11600000000.0,-3.455158107E+01,-1.182313708E+02,11700000000.0,"-3.569111248E+01
","1.515250469E+02
"
67,11500000000.0,-3.709065384E+01,-1.785410153E+01,11600000000.0,-3.362045342E+01,-1.257982929E+02,11700000000.0,"-3.499688437E+01
","1.301488933E+02
"
68,11500000000.0,-3.689928179E+01,-2.804322238E+01,11600000000.0,-3.477119262E+01,-1.397965021E+02,11700000000.0,"-3.575396152E+01
","1.249952419E+02
"
69,11500000000.0,-3.553477192E+01,-1.387194480E+01,11600000000.0,-3.298348649E+01,-1.257343834E+02,11700000000.0,"-3.567498741E+01
","1.346534664E+02
"
70,11500000000.0,-3.353292365E+01,-3.104691342E+00,11600000000.0,-3.214320951E+01,-1.160016231E+02,11700000000.0,"-3.520759164E+01
","1.436677062E+02
"
71,11500000000.0,-3.620000618E+01,-1.773961611E+01,11600000000.0,-3.440122239E+01,-1.342427870E+02,11700000000.0,"-3.563585381E+01
","1.264269065E+02
"
