,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3
451,11500000000.0,-3.574992094E+01,-2.848207121E+01,11600000000.0,-3.345195257E+01,-1.465338827E+02,11700000000.0,"-3.561585889E+01
","1.153069984E+02
"
452,11500000000.0,-3.683115929E+01,-3.586654510E+01,11600000000.0,-3.505099544E+01,-1.539961090E+02,11700000000.0,"-3.693437942E+01
","1.057885170E+02
"
453,11500000000.0,-3.709937726E+01,-2.884458917E+01,11600000000.0,-3.453749311E+01,-1.481441468E+02,11700000000.0,"-3.669042866E+01
","1.177609085E+02
"
454,11500000000.0,-3.433422142E+01,-2.279424852E+01,11600000000.0,-3.230833625E+01,-1.389705740E+02,11700000000.0,"-3.486297869E+01
","1.212739312E+02
"
455,11500000000.0,-3.483156990E+01,-3.747497982E+01,11600000000.0,-3.288162879E+01,-1.562014538E+02,11700000000.0,"-3.502688940E+01
","1.054180680E+02
"
456,11500000000.0,-3.526708791E+01,-4.644819914E+01,11600000000.0,-3.325609078E+01,-1.630229387E+02,11700000000.0,"-3.538971329E+01
","9.643035483E+01
"
457,11500000000.0,-3.535034337E+01,-3.071378549E+01,11600000000.0,-3.261758202E+01,-1.537206887E+02,11700000000.0,"-3.442157183E+01
","1.098456052E+02
"
458,11500000000.0,-3.599887798E+01,-4.634318789E+01,11600000000.0,-3.278007979E+01,-1.567568655E+02,11700000000.0,"-3.494374005E+01
","1.027492918E+02
"
459,11500000000.0,-3.489677533E+01,-4.080721840E+01,11600000000.0,-3.330935519E+01,-1.584878447E+02,11700000000.0,"-3.511559768E+01
","1.004726764E+02
"
460,11500000000.0,-3.353947035E+01,-3.075762005E+01,11600000000.0,-3.135161308E+01,-1.483330328E+02,11700000000.0,"-3.344520609E+01
","1.129030363E+02
"
461,11500000000.0,-3.505550583E+01,-2.730180518E+01,11600000000.0,-3.331322433E+01,-1.447290824E+02,11700000000.0,"-3.485556299E+01
","1.175274529E+02
"
462,11500000000.0,-3.752308222E+01,-1.126155104E+01,11600000000.0,-3.448120886E+01,-1.391312763E+02,11700000000.0,"-3.589157599E+01
","1.303453464E+02
"
463,11500000000.0,-3.820388522E+01,-2.567813715E+01,11600000000.0,-3.595313480E+01,-1.450091772E+02,11700000000.0,"-3.808160317E+01
","1.217906330E+02
"
464,11500000000.0,-3.884684288E+01,-4.043088640E+01,11600000000.0,-3.699853950E+01,-1.558483504E+02,11700000000.0,"-3.893483227E+01
","1.037042941E+02
"
465,11500000000.0,-3.576879698E+01,-1.660883669E+01,11600000000.0,-3.501433856E+01,-1.411153297E+02,11700000000.0,"-3.558987808E+01
","1.162449308E+02
"
466,11500000000.0,-3.599605638E+01,-2.151399052E+01,11600000000.0,-3.281177107E+01,-1.442002288E+02,11700000000.0,"-3.498744996E+01
","1.268252515E+02
"
467,11500000000.0,-3.528998729E+01,-3.779042104E+01,11600000000.0,-3.257949087E+01,-1.494668770E+02,11700000000.0,"-3.581044436E+01
","1.098283379E+02
"
468,11500000000.0,-3.622736004E+01,-4.369673328E+01,11600000000.0,-3.488110304E+01,-1.661268097E+02,11700000000.0,"-3.623725235E+01
","9.551013591E+01
"
469,11500000000.0,-3.763401428E+01,-3.429576193E+01,11600000000.0,-3.438911830E+01,-1.609898427E+02,11700000000.0,"-3.552934182E+01
","9.632312637E+01
"
470,11500000000.0,-3.575251534E+01,-2.105195425E+01,11600000000.0,-3.409820197E+01,-1.497089515E+02,11700000000.0,"-3.460624622E+01
","1.055269771E+02
"
471,11500000000.0,-3.628978192E+01,-3.220325827E+01,11600000000.0,-3.353346538E+01,-1.589597137E+02,11700000000.0,"-3.553926315E+01
","1.040739774E+02
"
472,11500000000.0,-3.519261144E+01,-4.525314518E+01,11600000000.0,-3.218938383E+01,-1.588666429E+02,11700000000.0,"-3.560229906E+01
","9.504307331E+01
"
473,11500000000.0,-3.426308179E+01,-3.360833003E+01,11600000000.0,-3.285068493E+01,-1.495578966E+02,11700000000.0,"-3.384817633E+01
","1.007025912E+02
"
474,11500000000.0,-3.607591237E+01,-2.273820471E+01,11600000000.0,-3.468314251E+01,-1.515436873E+02,11700000000.0,"-3.450470527E+01
","1.111114806E+02
"
475,11500000000.0,-3.688535516E+01,1.159148013E+02,11600000000.0,-3.299526880E+01,1.420417578E+02,11700000000.0,"-3.535953262E+01
","-1.500992931E+02
"
476,11500000000.0,-3.487881397E+01,-2.786812195E+01,11600000000.0,-3.198769155E+01,-1.421455205E+02,11700000000.0,"-3.509177427E+01
","1.119824829E+02
"
477,11500000000.0,-3.602143984E+01,-2.698604082E+01,11600000000.0,-3.476700664E+01,-1.294637263E+02,11700000000.0,"-3.680912794E+01
","1.133191603E+02
"
478,11500000000.0,-3.622213638E+01,-4.597839558E+00,11600000000.0,-3.524199361E+01,-1.204884103E+02,11700000000.0,"-3.690744887E+01
","1.278542672E+02
"
479,11500000000.0,-3.785509329E+01,-1.028344926E+01,11600000000.0,-3.679506331E+01,-1.362569415E+02,11700000000.0,"-3.740673285E+01
","1.198702771E+02
"
480,11500000000.0,-3.847019090E+01,-3.540193252E+01,11600000000.0,-3.677621297E+01,-1.563851610E+02,11700000000.0,"-3.760206141E+01
","9.894974616E+01
"
481,11500000000.0,-3.684809487E+01,-2.736140137E+01,11600000000.0,-3.407262001E+01,-1.411790653E+02,11700000000.0,"-3.675207951E+01
","1.120463200E+02
"
482,11500000000.0,-3.719778944E+01,-3.995558945E+01,11600000000.0,-3.396703885E+01,-1.463967757E+02,11700000000.0,"-3.785362531E+01
","1.130693874E+02
"
483,11500000000.0,-3.624433857E+01,-3.945986942E+01,11600000000.0,-3.337542609E+01,-1.593924246E+02,11700000000.0,"-3.634916128E+01
","1.029984353E+02
"
484,11500000000.0,-3.679380283E+01,-3.565392171E+01,11600000000.0,-3.518557073E+01,-1.666447447E+02,11700000000.0,"-3.607720128E+01
","1.026492379E+02
"
485,11500000000.0,-3.535228006E+01,-3.560778457E+01,11600000000.0,-3.492583345E+01,-1.549718393E+02,11700000000.0,"-3.566681680E+01
","9.289819590E+01
"
486,11500000000.0,-3.483098851E+01,-4.376310946E+01,11600000000.0,-3.283695383E+01,-1.574889499E+02,11700000000.0,"-3.574882671E+01
","9.337086565E+01
"
487,11500000000.0,-3.564197882E+01,-6.166667541E+01,11600000000.0,-3.267543148E+01,-1.782819555E+02,11700000000.0,"-3.637387682E+01
","8.379577779E+01
"
488,11500000000.0,-5.349141918E+01,-6.064519680E+01,11600000000.0,-5.775375068E+01,1.745312167E+02,11700000000.0,"-6.551438436E+01
","7.532707752E+01
"
489,11500000000.0,-3.548359641E+01,2.081239308E+01,11600000000.0,-3.337104521E+01,2.689029527E+01,11700000000.0,"-3.480151079E+01
","4.286872620E+01
"
490,11500000000.0,-3.620057746E+01,-6.029693930E+01,11600000000.0,-3.423465488E+01,1.710609139E+02,11700000000.0,"-3.574084983E+01
","7.266626847E+01
"
491,11500000000.0,-3.517760740E+01,-6.846604275E+01,11600000000.0,-3.448556666E+01,1.707438491E+02,11700000000.0,"-3.580134298E+01
","7.129050376E+01
"
492,11500000000.0,-3.461997665E+01,-6.434393747E+01,11600000000.0,-3.169639098E+01,-1.782064876E+02,11700000000.0,"-3.523679301E+01
","8.212221362E+01
"
493,11500000000.0,-3.603713755E+01,-5.209690538E+01,11600000000.0,-3.303691126E+01,-1.759027079E+02,11700000000.0,"-3.507012042E+01
","9.837802180E+01
"
494,11500000000.0,-3.667608925E+01,-4.459251807E+01,11600000000.0,-3.533881878E+01,-1.654201345E+02,11700000000.0,"-3.655448998E+01
","9.248011704E+01
"
495,11500000000.0,-3.977917431E+01,-5.436973788E+01,11600000000.0,-3.741677260E+01,-1.775687570E+02,11700000000.0,"-3.941097662E+01
","8.238400555E+01
"
496,11500000000.0,-3.937915519E+01,-4.787385492E+01,11600000000.0,-3.634591574E+01,-1.585344141E+02,11700000000.0,"-3.938621662E+01
","9.981622735E+01
"
497,11500000000.0,-3.775202185E+01,-3.245409742E+01,11600000000.0,-3.512749006E+01,-1.562511492E+02,11700000000.0,"-3.584659412E+01
","1.091764059E+02
"
498,11500000000.0,-3.607281843E+01,-4.270431177E+01,11600000000.0,-3.414545442E+01,-1.595838278E+02,11700000000.0,"-3.518602163E+01
","9.998851907E+01
"
499,11500000000.0,-3.475706365E+01,-5.308472335E+01,11600000000.0,-3.264037247E+01,-1.706123627E+02,11700000000.0,"-3.438174783E+01
","9.207904700E+01
"
500,11500000000.0,-3.583400474E+01,-6.287537896E+01,11600000000.0,-3.394044995E+01,1.752732864E+02,11700000000.0,"-3.520007173E+01
","7.360147976E+01
"
501,11500000000.0,-3.613488720E+01,-5.941319184E+01,11600000000.0,-3.344787978E+01,-1.787134395E+02,11700000000.0,"-3.503825317E+01
","8.234080062E+01
"
502,11500000000.0,-3.484713257E+01,-5.067114547E+01,11600000000.0,-3.243336220E+01,-1.733882722E+02,11700000000.0,"-3.375878621E+01
","8.980904509E+01
"
503,11500000000.0,-3.409103618E+01,-6.927579901E+01,11600000000.0,-3.183458845E+01,1.712615944E+02,11700000000.0,"-3.385425717E+01
","7.011559636E+01
"
504,11500000000.0,-3.414822416E+01,-6.901407849E+01,11600000000.0,-3.213185409E+01,1.693035051E+02,11700000000.0,"-3.379946326E+01
","6.863269113E+01
"
505,11500000000.0,-3.422515585E+01,-5.321186208E+01,11600000000.0,-3.227179643E+01,-1.695939768E+02,11700000000.0,"-3.431187170E+01
","9.102769451E+01
"
506,11500000000.0,-3.549506613E+01,-6.102699879E+01,11600000000.0,-3.292089309E+01,-1.773181258E+02,11700000000.0,"-3.478331610E+01
","8.594238549E+01
"
507,11500000000.0,-3.483035261E+01,-6.451009883E+01,11600000000.0,-3.325085534E+01,1.766823330E+02,11700000000.0,"-3.455872501E+01
","7.850474337E+01
"
508,11500000000.0,-3.416035535E+01,-6.137149652E+01,11600000000.0,-3.217699686E+01,-1.772681006E+02,11700000000.0,"-3.395971667E+01
","8.625110188E+01
"
509,11500000000.0,-3.547398512E+01,-4.638127466E+01,11600000000.0,-3.306998984E+01,-1.644861527E+02,11700000000.0,"-3.455186046E+01
","9.430835475E+01
"
510,11500000000.0,-3.679790178E+01,-3.778647987E+01,11600000000.0,-3.426878712E+01,-1.583818817E+02,11700000000.0,"-3.563420552E+01
","1.030303633E+02
"
511,11500000000.0,-3.843216776E+01,-4.986182122E+01,11600000000.0,-3.638436772E+01,-1.682393918E+02,11700000000.0,"-3.809715982E+01
","9.256647454E+01
"
