,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3
0,11500000000.0,-3.988338348E+01,-3.018682866E+01,11600000000.0,-3.882564636E+01,-1.490626278E+02,11700000000.0,"-4.068773996E+01
","1.145236203E+02
"
1,11500000000.0,-3.574605537E+01,-1.956940803E+01,11600000000.0,-3.433548661E+01,-1.385028548E+02,11700000000.0,"-3.669973416E+01
","1.220906614E+02
"
2,11500000000.0,-3.471885963E+01,-2.168705056E+01,11600000000.0,-3.253803984E+01,-1.378828019E+02,11700000000.0,"-3.491774565E+01
","1.240557587E+02
"
3,11500000000.0,-3.409148985E+01,-2.806179120E+01,11600000000.0,-3.185447388E+01,-1.473516364E+02,11700000000.0,"-3.419505715E+01
","1.132765151E+02
"
4,11500000000.0,-3.546176364E+01,-3.819734559E+01,11600000000.0,-3.330529563E+01,-1.569054565E+02,11700000000.0,"-3.525971672E+01
","1.083715704E+02
"
5,11500000000.0,-3.539657338E+01,-3.413190488E+01,11600000000.0,-3.356839160E+01,-1.524662002E+02,11700000000.0,"-3.519312404E+01
","1.151086458E+02
"
6,11500000000.0,-3.468931482E+01,-1.812783779E+01,11600000000.0,-3.240405035E+01,-1.363169339E+02,11700000000.0,"-3.485262938E+01
","1.305026754E+02
"
7,11500000000.0,-3.554392942E+01,-2.134146897E+01,11600000000.0,-3.417944212E+01,-1.450858353E+02,11700000000.0,"-3.586395994E+01
","1.208485948E+02
"
8,11500000000.0,-3.643715793E+01,-3.505336454E+01,11600000000.0,-3.425711818E+01,-1.540780289E+02,11700000000.0,"-3.658803835E+01
","1.171140815E+02
"
9,11500000000.0,-3.652262775E+01,-2.847786224E+01,11600000000.0,-3.473758162E+01,-1.491538094E+02,11700000000.0,"-3.663648914E+01
","1.182405391E+02
"
10,11500000000.0,-3.789011741E+01,-2.527267101E+01,11600000000.0,-3.480110640E+01,-1.500958691E+02,11700000000.0,"-3.699339398E+01
","1.222344135E+02
"
