,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3
31,11500000000.0,-3.792896263E+01,-1.904846329E+01,11600000000.0,-3.618729216E+01,-1.437678086E+02,11700000000.0,"-3.698211364E+01
","1.182648257E+02
"
32,11500000000.0,-3.773080316E+01,-2.906210604E+00,11600000000.0,-3.519763909E+01,-1.320661675E+02,11700000000.0,"-3.692314821E+01
","1.341967340E+02
"
33,11500000000.0,-3.525862789E+01,8.663183201E+00,11600000000.0,-3.356109025E+01,-1.193731096E+02,11700000000.0,"-3.447091448E+01
","1.442606503E+02
"
34,11500000000.0,-3.378135783E+01,-1.214977720E+01,11600000000.0,-3.244348030E+01,-1.314732472E+02,11700000000.0,"-3.365551095E+01
","1.284677290E+02
"
35,11500000000.0,-3.216108182E+01,-1.694115638E+01,11600000000.0,-3.037412535E+01,-1.341537505E+02,11700000000.0,"-3.229520115E+01
","1.218052501E+02
"
36,11500000000.0,-3.386234531E+01,-2.167984813E+01,11600000000.0,-3.120840907E+01,-1.375079158E+02,11700000000.0,"-3.371398645E+01
","1.175646923E+02
"
37,11500000000.0,-3.624292062E+01,-3.000367159E+01,11600000000.0,-3.241528330E+01,-1.434805021E+02,11700000000.0,"-3.446772442E+01
","1.211720648E+02
"
38,11500000000.0,-3.442301519E+01,-1.798259205E+01,11600000000.0,-3.169517790E+01,-1.435062723E+02,11700000000.0,"-3.363270672E+01
","1.237760050E+02
"
39,11500000000.0,-3.364673532E+01,-1.856039279E+01,11600000000.0,-3.150331105E+01,-1.440605948E+02,11700000000.0,"-3.290750518E+01
","1.169540914E+02
"
40,11500000000.0,-3.433017322E+01,-1.066173692E+01,11600000000.0,-3.196624861E+01,-1.344028718E+02,11700000000.0,"-3.420266934E+01
","1.215473448E+02
"
41,11500000000.0,-3.561052635E+01,-1.620939700E+00,11600000000.0,-3.263399025E+01,-1.277338033E+02,11700000000.0,"-3.468560475E+01
","1.304093406E+02
"
42,11500000000.0,-3.594442064E+01,-1.888803257E+01,11600000000.0,-3.372343714E+01,-1.404939103E+02,11700000000.0,"-3.471140952E+01
","1.178723019E+02
"
43,11500000000.0,-3.481949439E+01,-2.297191025E+01,11600000000.0,-3.262546905E+01,-1.397785377E+02,11700000000.0,"-3.534546442E+01
","1.176314983E+02
"
44,11500000000.0,-3.410527983E+01,-2.967236832E+00,11600000000.0,-3.114607091E+01,-1.281892773E+02,11700000000.0,"-3.333194343E+01
","1.351979535E+02
"
45,11500000000.0,-3.332527603E+01,2.534486844E+00,11600000000.0,-3.206013524E+01,-1.180980281E+02,11700000000.0,"-3.355162955E+01
","1.396224212E+02
"
46,11500000000.0,-3.566699785E+01,-4.173398535E+00,11600000000.0,-3.282403017E+01,-1.195126270E+02,11700000000.0,"-3.627400655E+01
","1.390340085E+02
"
47,11500000000.0,-3.996703255E+01,-1.353367037E+01,11600000000.0,-3.787160057E+01,-1.346786768E+02,11700000000.0,"-3.967758808E+01
","1.282093509E+02
"
48,11500000000.0,-3.956990086E+01,1.101278302E+01,11600000000.0,-3.826883499E+01,-1.058482265E+02,11700000000.0,"-4.031224722E+01
","1.525954592E+02
"
49,11500000000.0,-3.628370150E+01,2.262041246E+01,11600000000.0,-3.558821262E+01,-9.347895955E+01,11700000000.0,"-3.700088057E+01
","1.625407351E+02
"
50,11500000000.0,-3.535245447E+01,1.118390940E+01,11600000000.0,-3.408952351E+01,-9.954234468E+01,11700000000.0,"-3.675002794E+01
","1.610730726E+02
"
51,11500000000.0,-3.430624122E+01,6.385979827E+00,11600000000.0,-3.230866475E+01,-1.146458639E+02,11700000000.0,"-3.411405940E+01
","1.479015603E+02
"
52,11500000000.0,-3.612241665E+01,-4.301623226E+00,11600000000.0,-3.379294490E+01,-1.232880822E+02,11700000000.0,"-3.547472501E+01
","1.417232792E+02
"
53,11500000000.0,-3.819726284E+01,-1.207737837E+01,11600000000.0,-3.539270886E+01,-1.333412987E+02,11700000000.0,"-3.576820861E+01
","1.358887690E+02
"
54,11500000000.0,-3.574666848E+01,-9.077638693E+00,11600000000.0,-3.397396366E+01,-1.306206926E+02,11700000000.0,"-3.479854676E+01
","1.347721942E+02
"
55,11500000000.0,-3.416453817E+01,-1.314686743E+01,11600000000.0,-3.243691865E+01,-1.283833618E+02,11700000000.0,"-3.431725170E+01
","1.355377045E+02
"
56,11500000000.0,-3.459635438E+01,-9.225617856E+00,11600000000.0,-3.315680683E+01,-1.296710903E+02,11700000000.0,"-3.445423069E+01
","1.343234185E+02
"
57,11500000000.0,-3.619469046E+01,-2.361285430E+00,11600000000.0,-3.390413903E+01,-1.185913729E+02,11700000000.0,"-3.599888280E+01
","1.413370337E+02
"
58,11500000000.0,-3.843436534E+01,-1.034231760E+01,11600000000.0,-3.592371174E+01,-1.307075020E+02,11700000000.0,"-3.734784814E+01
","1.350769121E+02
"
59,11500000000.0,-3.620865162E+01,-1.588154314E+01,11600000000.0,-3.463305059E+01,-1.373497889E+02,11700000000.0,"-3.602387299E+01
","1.267674585E+02
"
60,11500000000.0,-3.443309653E+01,-6.985225069E+00,11600000000.0,-3.235814178E+01,-1.291579674E+02,11700000000.0,"-3.410269618E+01
","1.365414769E+02
"
61,11500000000.0,-3.470574673E+01,-2.299509366E+00,11600000000.0,-3.278093559E+01,-1.177503209E+02,11700000000.0,"-3.477964369E+01
","1.451233515E+02
"
