,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-5.084246913E+01,7.899176827E+01,11520000000.0,-4.879394445E+01,-1.537534455E+02,11540000000.0,-4.814325544E+01,-3.873970503E+01,11560000000.0,-4.758365493E+01,8.459604178E+01,11580000000.0,-4.804857544E+01,-1.431248675E+02,11600000000.0,-4.726822844E+01,-2.908932496E+01,11620000000.0,-4.821013119E+01,8.390908625E+01,11640000000.0,-4.856476697E+01,-1.519208918E+02,11660000000.0,-5.063189770E+01,-2.586394781E+01,11680000000.0,-5.018936801E+01,9.830437447E+01,11700000000.0,"-5.045148960E+01
","-1.302870122E+02
"
1,11500000000.0,-4.956886757E+01,7.930208424E+01,11520000000.0,-4.916037711E+01,-1.531474496E+02,11540000000.0,-4.605389960E+01,-3.631619177E+01,11560000000.0,-4.553336867E+01,7.810996928E+01,11580000000.0,-4.525221970E+01,-1.498960959E+02,11600000000.0,-4.539441232E+01,-2.389493396E+01,11620000000.0,-4.619325957E+01,9.819082611E+01,11640000000.0,-4.673848183E+01,-1.496032690E+02,11660000000.0,-4.726347502E+01,-2.794812783E+01,11680000000.0,-4.754742217E+01,1.019467723E+02,11700000000.0,"-4.759087204E+01
","-1.440298940E+02
"
2,11500000000.0,-4.547538739E+01,7.548312984E+01,11520000000.0,-4.343671582E+01,-1.688701768E+02,11540000000.0,-4.230786881E+01,-4.376049813E+01,11560000000.0,-4.238911089E+01,8.283567781E+01,11580000000.0,-4.193786701E+01,-1.523414931E+02,11600000000.0,-4.266062674E+01,-3.562969701E+01,11620000000.0,-4.307326769E+01,8.666083387E+01,11640000000.0,-4.485116607E+01,-1.570681874E+02,11660000000.0,-4.581384491E+01,-3.450503306E+01,11680000000.0,-4.444034640E+01,9.745795979E+01,11700000000.0,"-4.415653837E+01
","-1.406839206E+02
"
3,11500000000.0,-4.536708544E+01,7.116044887E+01,11520000000.0,-4.405829598E+01,-1.587363678E+02,11540000000.0,-4.211125456E+01,-4.112216695E+01,11560000000.0,-4.149485357E+01,8.350524898E+01,11580000000.0,-4.177256339E+01,-1.487788792E+02,11600000000.0,-4.150681931E+01,-3.006901292E+01,11620000000.0,-4.151051352E+01,8.707722297E+01,11640000000.0,-4.238686156E+01,-1.528846286E+02,11660000000.0,-4.363664150E+01,-2.645404701E+01,11680000000.0,-4.374282011E+01,1.002136472E+02,11700000000.0,"-4.237643919E+01
","-1.302977028E+02
"
4,11500000000.0,-4.832214468E+01,6.569209246E+01,11520000000.0,-4.581779377E+01,-1.635424159E+02,11540000000.0,-4.647383201E+01,-5.543644231E+01,11560000000.0,-4.514249224E+01,7.272756411E+01,11580000000.0,-4.442221421E+01,-1.616480949E+02,11600000000.0,-4.514506033E+01,-4.227295801E+01,11620000000.0,-4.549299862E+01,7.785298615E+01,11640000000.0,-4.772116677E+01,-1.626393204E+02,11660000000.0,-4.884310003E+01,-3.944478896E+01,11680000000.0,-4.786074776E+01,8.515747719E+01,11700000000.0,"-4.660787463E+01
","-1.410955215E+02
"
5,11500000000.0,-4.846516121E+01,5.197695196E+01,11520000000.0,-4.719799162E+01,-1.767298602E+02,11540000000.0,-4.689187725E+01,-4.848898391E+01,11560000000.0,-4.514547362E+01,6.932919771E+01,11580000000.0,-4.584358269E+01,-1.649597768E+02,11600000000.0,-4.575453624E+01,-5.060861302E+01,11620000000.0,-4.634576977E+01,7.637703185E+01,11640000000.0,-4.715053761E+01,-1.789771708E+02,11660000000.0,-4.757239485E+01,-4.471454521E+01,11680000000.0,-4.684159557E+01,7.131656807E+01,11700000000.0,"-4.684665994E+01
","-1.549415656E+02
"
6,11500000000.0,-4.881765462E+01,7.976130249E+01,11520000000.0,-4.829133694E+01,-1.671304799E+02,11540000000.0,-4.637035962E+01,-4.004831949E+01,11560000000.0,-4.496111330E+01,8.127553883E+01,11580000000.0,-4.487154347E+01,-1.523268715E+02,11600000000.0,-4.510590057E+01,-2.938017807E+01,11620000000.0,-4.449254213E+01,9.135238562E+01,11640000000.0,-4.591472649E+01,-1.502279866E+02,11660000000.0,-4.666904368E+01,-2.686044678E+01,11680000000.0,-4.690560123E+01,1.013746338E+02,11700000000.0,"-4.610494643E+01
","-1.395819816E+02
"
7,11500000000.0,-5.136314365E+01,5.959182797E+01,11520000000.0,-4.798536514E+01,-1.706491828E+02,11540000000.0,-4.746347681E+01,-4.839280407E+01,11560000000.0,-4.796770646E+01,7.522650545E+01,11580000000.0,-4.665157201E+01,-1.628999509E+02,11600000000.0,-4.733437474E+01,-3.837716172E+01,11620000000.0,-4.789843700E+01,7.577489148E+01,11640000000.0,-4.946362830E+01,-1.524086190E+02,11660000000.0,-4.919419913E+01,-3.355699318E+01,11680000000.0,-5.236988786E+01,9.002145993E+01,11700000000.0,"-4.867125671E+01
","-1.497969038E+02
"
8,11500000000.0,-5.135000421E+01,5.285203838E+01,11520000000.0,-4.884437571E+01,1.728263399E+02,11540000000.0,-5.080686869E+01,-6.773155740E+01,11560000000.0,-4.828171969E+01,6.325728372E+01,11580000000.0,-4.803258307E+01,-1.763189727E+02,11600000000.0,-4.726831990E+01,-5.020078301E+01,11620000000.0,-4.918814729E+01,6.364458261E+01,11640000000.0,-5.027297822E+01,-1.754925209E+02,11660000000.0,-4.984495393E+01,-5.062640620E+01,11680000000.0,-5.316774925E+01,8.854707629E+01,11700000000.0,"-5.093011326E+01
","-1.424200564E+02
"
9,11500000000.0,-5.108241653E+01,7.126760308E+01,11520000000.0,-4.871987399E+01,-1.665547407E+02,11540000000.0,-4.768289233E+01,-4.031556677E+01,11560000000.0,-4.775107603E+01,7.778149808E+01,11580000000.0,-4.739489533E+01,-1.592992104E+02,11600000000.0,-4.590074280E+01,-4.224011077E+01,11620000000.0,-4.771370270E+01,8.361108408E+01,11640000000.0,-4.924147192E+01,-1.597182013E+02,11660000000.0,-5.011148931E+01,-3.887142836E+01,11680000000.0,-4.985709203E+01,8.345886500E+01,11700000000.0,"-5.032776736E+01
","-1.351142474E+02
"
